order_id,customer_id,customer_name,product_id,product_name,product_category_main,product_category_sub,         product_category_sub_sub,payment_type,qty,price,datetime,country,city,e-commerce_website_name,payment_tnx_success,failure_reason
5948283,601040,  Jedediah Kovacek,308275829, Talking Tables Confetti Ballons Pastel,  Home & Ents ,  Party Decorations & Party Supplies ,  Balloons, Card,1,2, 2021-09-08 16:30:06,  UK,  Chathom, Tesco, Y, 
5948284,876521,  Drake Bruen,295375634, Dark Horse Merlot 75Cl,  Drinks ,  Wine ,  Red Wine, Card,10,8.5, 2021-04-28 10:53:16,  UK,  London, Tesco, Y, 
5948285,876521,  Drake Bruen,295375634, Dark Horse Merlot 75Cl,  Drinks ,  Wine ,  Red Wine, Card,10,8.5, 2021-04-28 10:53:16,  UK,  London, Tesco, Y, 
5948286,689107,  January Reilly,308289618, Rainbow Chunky Ring 4 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Card,8,3, 2021-06-10 11:18:27,  Ireland,  Limerick, Tesco, Y, 
5948287,293279,  Texie Mohr,293097511,2Pc Microfibre Washndry,  Home & Ents ,  DIY & Car Care ,  DIY, Wallet,8,5, 2021-12-02 08:11:56,  UK,  Chelmsford, Amazon, Y, 
5948288,276696,  Elaina Herman,295010082, Command Picture Hanging Small Value Pack 12 Sets,  Home & Ents ,  DIY & Car Care ,  DIY, Card,5,6, 2021-06-22 20:45:16,  UK,  London, Tesco, Y, 
5948289,276696,  Elaina Herman,295010082, Command Picture Hanging Small Value Pack 12 Sets,  Home & Ents ,  DIY & Car Care ,  DIY, Card,5,6, 2021-06-22 20:45:16,  UK,  London, Tesco, Y, 
5948290,670524,  Zena Hessel,291640753, Gorilla Epoxy 25Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,2,5, 2021-02-20 11:58:02,  Ireland,  Dublin, Tesco, Y, 
5948291,928486,  Dannielle Rowe,306963964, Go Flo Snow,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Wallet,4,2, 2021-12-02 09:45:54,  Ireland,  Limerick, Amazon, Y, 
5948292,122433,  Latrina Torp,291640753, Gorilla Epoxy 25Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,7,5, 2021-10-03 14:47:46,  Ireland,  Limerick, Tesco, Y, 
5948293,576187,  Frazier Pfeffer,276602666, Edinburgh Gin 70Cl,  Drinks ,  Spirits ,  Gin, Wallet,8,28, 2021-12-27 14:01:22,  UK,  London, Amazon, Y, 
5948294,576187,  Frazier Pfeffer,276602666, Edinburgh Gin 70Cl,  Drinks ,  Spirits ,  Gin, Wallet,8,28, 2021-12-27 14:01:22,  UK,  London, Amazon, Y, 
5948295,766840,  Lyda Fisher,286376399,Large Birthday Pink Badge,  Home & Ents ,  Party Decorations & Party Supplies ,  Banners- Bunting & Badges, Card,9,1.25, 2021-08-12 08:46:32,  UK,  Battle Hill, Tesco, Y, 
5948296,987816,  Gearld Rohan,293099169,16Oz Claw Hammer,  Home & Ents ,  DIY & Car Care ,  DIY, Card,7,4.5, 2021-06-13 13:14:04,  UK,  Chelmsford, Tesco, Y, 
5948297,245671,  Andon Koelpin,281079027,Jumbo Car Sponge,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,3,0.55, 2021-11-17 12:33:52,  UK,  Chathom, Tesco, Y, 
5948298,915540,  Josette Okuneva,295901289, Players Bright 20 Pack,  Home & Ents ,  Newsagent & Tobacconist ,  Tobacconist, Card,3,9.5, 2021-12-15 13:16:26,  UK,  London, Tesco, Y, 
5948299,915540,  Josette Okuneva,295901289, Players Bright 20 Pack,  Home & Ents ,  Newsagent & Tobacconist ,  Tobacconist, Card,3,9.5, 2021-12-15 13:16:26,  UK,  London, Tesco, Y, 
5948300,786042,  Oralia Bartoletti,291611870, Good Boy Wagtastic Chicken Dumbells 350G,  Pets ,  Dog Food & Accessories ,  Bulk Dog Food, Card,5,7.5, 2021-09-04 09:14:12,  Ireland,  Dublin, Tesco, Y, 
5948301,536446,  Marcy Thiel,303901945, Scentos Scented Markers,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Card,3,1.5, 2021-06-20 15:53:48,  UK,  Chelmsford, Tesco, Y, 
5948302,979672,  Dayton Dietrich,250090987, Jelly Belly Air Freshener Very Cherry,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,3,2.75, 2021-06-09 08:40:19,  UK,  London, Tesco, Y, 
5948303,979672,  Dayton Dietrich,250090987, Jelly Belly Air Freshener Very Cherry,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,3,2.75, 2021-06-09 08:40:19,  UK,  London, Tesco, Y, 
5948304,974518,  Les Zulauf,297347325, Gorilla Tape Handy Roll 9Mtr,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,3, 2021-09-05 16:49:50,  UK,  London, Tesco, Y, 
5948305,974518,  Les Zulauf,297347325, Gorilla Tape Handy Roll 9Mtr,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,3, 2021-09-05 16:49:50,  UK,  London, Tesco, Y, 
5948306,992386,  Glennie Moore,304356626, Crayons Party Bag 6 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Card,10,2, 2021-11-24 19:33:46,  UK,  Accrington, Amazon, Y, 
5948307,257933,  Sidney Crist,291243964, Leobancroft Kids 24 Pack Mini Band Pastel,  Health & Beauty ,  Haircare & Styling ,  Hair Accessories, Card,4,2.5, 2021-01-16 11:46:13,  Ireland,  Dublin, Tesco, Y, 
5948308,128219,  Denzel Cummings,305411554, Scented Bath Bomb,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Card,3,2, 2021-10-10 18:14:19,  UK,  Accrington, Tesco, Y, 
5948309,64962,  Nena Hirthe,285281495,10W40 Part Synthetic Oil 2L,  Home & Ents ,  DIY & Car Care ,  Car Care, Electronic,4,10, 2021-12-20 14:36:17,  Ireland,  Cork, Amazon, Y, 
5948310,896519,  Molly Olson,295335671,Multi Purpose Silicon Sealant 300Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,3, 2021-12-28 18:40:07,  UK,  Chelmsford, Tesco, Y, 
5948311,333715,  Otha Hyatt,291585461, Unibond Sealant Re-New,  Home & Ents ,  DIY & Car Care ,  DIY, Electronic,3,8, 2021-12-02 12:11:02,  Czech Republic,  Czechia, bazos, Y, 
5948312,69481,  Cambria Simonis,285281512,5W30 Fully Synthetic Oil Ford 2L,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,2,12, 2021-12-28 18:02:43,  Slovakia,  Bratislava, Aliexpress, Y, 
5948313,725003,  Elias Grant,276344798,Pearlised Black Balloons 10 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Balloons, Card,10,1.25, 2021-06-10 14:51:27,  UK,  Chathom, Tesco, Y, 
5948314,910239,  Shante Goodwin,290364570, Castrol Edge 5W-30 1L,  Home & Ents ,  DIY & Car Care ,  Car Care, Electronic,9,16, 2021-12-19 11:50:19,  Ireland,  Dublin, Aldi, Y, 
5948315,99399,  Eduardo Emmerich,267551779,Star Balloon 10 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Balloons, Card,1,1.25, 2021-02-18 18:34:59,  Hungary,  Budapest, Tesco, Y, 
5948316,625942,  Louanna Green,291585461, Unibond Sealant Re-New,  Home & Ents ,  DIY & Car Care ,  DIY, Card,2,8, 2021-01-22 19:56:00,  Hungary,  Budapest, Tesco, Y, 
5948317,97816,  Shep Olson,276554941, Master Lock Excel 45Mm Padlock,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,10, 2021-06-16 08:05:01,  UK,  Chathom, Tesco, Y, 
5948318,492568,  Dylan Mohr,295375634, Dark Horse Merlot 75Cl,  Drinks ,  Wine ,  Red Wine, Card,2,8.5, 2021-04-17 16:01:56,  Ireland,  Cork, Tesco, Y, 
5948319,863615,  Carli Collier,303099678, Dragon Universal All Purpose Filler 1.5 Kilograms,  Home & Ents ,  DIY & Car Care ,  DIY, Card,3,4, 2021-04-19 09:07:27,  UK,  London, Tesco, N, Insufficient credit
5948320,863615,  Carli Collier,303099678, Dragon Universal All Purpose Filler 1.5 Kilograms,  Home & Ents ,  DIY & Car Care ,  DIY, Card,3,4, 2021-04-19 09:07:27,  UK,  London, Tesco, N, Insufficient credit
5948321,97197,  Amit Boehm,303099684, Dragon Universal All Purpose Filler 330G,  Home & Ents ,  DIY & Car Care ,  DIY, Card,1,3, 2021-09-26 14:33:27,  Ireland,  Galway, Tesco, Y, 
5948322,930,  Stan Hand,281384593,Age 18 Balloons 6 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Balloons, Card,4,1.5, 2021-12-28 14:33:47,  UK,  London, Tesco, Y, 
5948323,930,  Stan Hand,281384593,Age 18 Balloons 6 Pack,  Home & Ents ,  Party Decorations & Party Supplies ,  Balloons, Card,4,1.5, 2021-12-28 14:33:47,  UK,  London, Tesco, Y, 
5948324,109173,  Memphis Hills,308386669, 20 Copper Wire Lights,  Home & Ents ,  Party Decorations & Party Supplies ,  Party Accessories, Wallet,8,4, 2021-12-09 10:44:13,  Hungary,  Budapest, Mediamarkt, Y, 
5948325,341165,  Nathalie Ferry,291528616, Yankee Candle Midsummers Night Vent Car Air Freshener,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,10,5, 2021-07-05 12:14:30,  UK,  Chelmsford, Tesco, Y, 
5948326,634480,  Francisca Kovacek,287525809, Simoniz Glass Cleaner Trigger 500Ml,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,9,5, 2021-11-02 13:32:28,  UK,  London, Tesco, Y, 
5948327,634480,  Francisca Kovacek,287525809, Simoniz Glass Cleaner Trigger 500Ml,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,9,5, 2021-11-02 13:32:28,  UK,  London, Tesco, Y, 
5948328,156414,  Lute Rohan,301530315, Gorilla Heavy Duty Mounting Tape,  Home & Ents ,  DIY & Car Care ,  DIY, Card,8,5, 2021-01-12 09:35:30,  Slovakia,  Bratislava, Tesco, Y, 
5948329,247735,  Stasia Murphy,303757113, Aromatherapy Car Air Freshener Llama,  Home & Ents ,  DIY & Car Care ,  Car Care, Wallet,9,1.5, 2021-11-23 13:04:29,  Ireland,  Dublin, Tesco, Y, 
5948330,563028,  Olivine Stanton,295901289, Players Bright 20 Pack,  Home & Ents ,  Newsagent & Tobacconist ,  Tobacconist, Card,1,9.5, 2021-02-13 13:01:44,  UK,  Chelmsford, Tesco, Y, 
5948331,898390,  Tyrek Schroeder,305488029,Glass And Insect Cleaner 500Ml,  Home & Ents ,  DIY & Car Care ,  Car Care, Electronic,7,1.5, 2021-12-08 16:21:13,  Hungary,  Budapest, Mediamarkt, Y, 
5948332,899585,  Tamisha Steuber,291640753, Gorilla Epoxy 25Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,7,5, 2021-11-19 12:08:28,  UK,  London, Tesco, Y, 
5948333,899585,  Tamisha Steuber,291640753, Gorilla Epoxy 25Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,7,5, 2021-11-19 12:08:28,  UK,  London, Tesco, Y, 
5948334,791821,  Walker Abbott,297347331, Gorilla Clear Repair Tape,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,8.5, 2021-06-14 12:46:21,  UK,  London, Tesco, Y, 
5948335,791821,  Walker Abbott,297347331, Gorilla Clear Repair Tape,  Home & Ents ,  DIY & Car Care ,  DIY, Card,10,8.5, 2021-06-14 12:46:21,  UK,  London, Tesco, Y, 
5948336,55863,  Debbi Stroman,285281754, Unibond Aero 360 Moisture Absorber,  Home & Ents ,  DIY & Car Care ,  DIY, Electronic,3,15, 2021-12-06 20:14:58,  Ireland,  Dublin, Aldi, Y, 
5948337,82685,  Katlynn Greenfelder,297347325, Gorilla Tape Handy Roll 9Mtr,  Home & Ents ,  DIY & Car Care ,  DIY, Electronic,7,3, 2021-12-12 19:06:11,  UK,  London, Aldi, Y, 
5948338,82685,  Katlynn Greenfelder,297347325, Gorilla Tape Handy Roll 9Mtr,  Home & Ents ,  DIY & Car Care ,  DIY, Electronic,7,3, 2021-12-12 19:06:11,  UK,  London, Aldi, Y, 
5948339,805582,  Madelyn Hyatt,307765379,Fun Animal Beach Towel,  Home & Ents ,  Bathroom Accessories & Towels ,  Towels, Card,8,4.8, 2021-06-03 20:20:19,  UK,  London, Tesco, N, Insufficient credit
5948340,805582,  Madelyn Hyatt,307765379,Fun Animal Beach Towel,  Home & Ents ,  Bathroom Accessories & Towels ,  Towels, Card,8,4.8, 2021-06-03 20:20:19,  UK,  London, Tesco, N, Insufficient credit
5948341,58659,  Iyana Deckow,295335665,Decorating Caulk 300Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,2,1.5, 2021-11-10 12:09:14,  UK,  London, Tesco, Y, 
5948342,58659,  Iyana Deckow,295335665,Decorating Caulk 300Ml,  Home & Ents ,  DIY & Car Care ,  DIY, Card,2,1.5, 2021-11-10 12:09:14,  UK,  London, Tesco, Y, 
5948343,429726,  Meggan Abernathy,293097760,Carded Ocean Air Freshener,  Home & Ents ,  DIY & Car Care ,  Car Care, Card,8,1, 2021-12-08 11:07:31,  UK,  London, Tesco, Y, 
