1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, Tesco, Tacoma, United States, Cash, 42176, Y, 
2, c_00002, Stacey Mcmahon, 116, Cables, Technology, 10, $300.0, 2021-04-28 10:53:16, Tesco, Atlanta, United States, Cash, 76537, Y, 
3, c_00003, Matthew Turner, 113, Mouse, Technology, 10, $800.0, 2021-04-28 10:53:16, Tesco, Indianapolis, United States, Electronic, 52421, N, Account locked
4, c_00004, Kirsten Scott, 109, TVs, Technology, 8, $9600.0, 2021-06-10 11:18:27, Tesco, Phoenix, United States, Cash, 23263, N, Insufficent funds
5, c_00005, David Medina, 416, Folders, School Items, 8, $8.0, 2021-12-02 08:11:56, Amazon, Springfield, United States, Gift card, 58479, Y, 
6, c_00006, Andrea Kirk, 306, Bookcase, Furniture, 5, $750.0, 2021-06-22 20:45:16, Tesco, Peoria, United States, Electronic, 28886, N, Account locked
7, c_00007, Jennifer Cooper, 108, Tablets, Technology, 5, $3000.0, 2021-06-22 20:45:16, Tesco, Toledo, United States, Internet Banking, 54750, Y, 
eighth, c_00008, Brittany Strong, 120, Virtual Assistant, Technology, 2, $358.0, 2021-02-20 11:58:02, Tesco, Jacksonville, United States, Cash, 29644, N, Insufficent funds
9, c_00009, Kristen Young, 209, Dresses, Clothes, 4, $396.0, 2021-12-02 09:45:54, Amazon, Eugene, United States, Electronic, 43910, Y, 
10, c_00010, Daniel Freeman, 300, Chairs, Furniture, 7, $420.0, 2021-10-03 14:47:46, Tesco, San Diego, United States, Card, 63143, Y, 
11, c_00011, Nathaniel Boyer, 106, Drones, Technology, 8, $400.0, 2021-12-27 14:01:22, Amazon, St. Louis, United States, Gift card, 39841, Y, 
twelfth, c_00012, Jason Allen, 421, Sharpie pens, School Items, 8, $16.0, 2021-12-27 14:01:22, Amazon, Washington, United States, Internet Banking, 29240, Y, 
