1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, United States, Tacoma, Tesco, Cash, 42176, Y, 
2, c_00002, Stacey Mcmahon, 116, Cables, Technology, 10, $300.0, 2021-04-28 10:53:16, United States, Atlanta, Tesco, Cash, 76537, Y, 
3, c_00003, Matthew Turner, 113, Mouse, Technology, 10, $800.0, 2021-04-28 10:53:16, United States, Indianapolis, Tesco, Electronic, 52421, N, Account locked
4, c_00004, Kirsten Scott, 109, TVs, Technology, 8, $9600.0, 2021-06-10 11:18:27, United States, Phoenix, Tesco, Cash, 23263, N, Insufficent funds
5, c_00005, David Medina, 416, Folders, School Items, 8, $8.0, 2021-12-02 08:11:56, United States, Springfield, Amazon, Gift card, 58479, Y, 
6, c_00006, Andrea Kirk, 306, Bookcase, Furniture, 5, $750.0, 2021-06-22 20:45:16, United States, Peoria, Tesco, Electronic, 28886, N, Account locked
7, c_00007, Jennifer Cooper, 108, Tablets, Technology, 5, $3000.0, 2021-06-22 20:45:16, United States, Toledo, Tesco, Internet Banking, 54750, Y, 
8, c_00008, Brittany Strong, 120, Virtual Assistant, Technology, 2, $358.0, 2021-02-20 11:58:02, United States, Jacksonville, Tesco, Cash, 29644, N, Insufficent funds
9, c_00009, Kristen Young, 209, Dresses, Clothes, 4, $396.0, 2021-12-02 09:45:54, United States, Eugene, Amazon, Electronic, 43910, Y, 
10, c_00010, Daniel Freeman, 300, Chairs, Furniture, 7, $420.0, 2021-10-03 14:47:46, United States, San Diego, Tesco, Card, 63143, Y, 
11, c_00011, Nathaniel Boyer, 106, Drones, Technology, 8, $400.0, 2021-12-27 14:01:22, United States, St. Louis, Amazon, Gift card, 39841, Y, 
twelfth, c_00012, Jason Allen, 421, Sharpie pens, School Items, 8, $16.0, 2021-12-27 14:01:22, United States, Washington, Amazon, Internet Banking, 29240, Y, 
13, c_00013, Tyler Guerrero, 421, Sharpie pens, School Items, 9, $18.0, 2021-08-12 08:46:32, United States, Des Moines, Tesco, Internet Banking, 81737, Y, 
14, c_00014, Stephanie Fisher, 410, Markers, School Items, 7, $21.0, 2021-06-13 13:14:04, United States, Washington, Tesco, Cash, 66329, N, Insufficent funds
15, c_00015, Tyler Brown, 224, Wallet, Clothes, 3, $195.0, 2021-11-17 12:33:52, United States, Torrance, Tesco, Internet Banking, 38371, Y, 
16, c_00016, Samantha Moss, 301, Couches, Furniture, 3, $900.0, 2021-12-15 13:16:26, United States, Savannah, Tesco, Cash, 64990, Y, 
17, c_00017, Todd Campbell, 419, Lunch Bags, School Items, 3, $21.0, 2021-12-15 13:16:26, United States, Visalia, Tesco, Cash, 23686, Y, 
18, c_00018, Kelly Ellis, 216, Coats, Clothes, 5, $100.0, 2021-09-04 09:14:12, United States, St. Petersburg, Tesco, Gift card, 41044, Y, 
nineteenth, c_00019, Brenda Morales, 311, Ottoman, Furniture, 3, $150.0, 2021-06-20 15:53:48, United States, San Jose, Tesco, Electronic, 28785, Y, 
20, c_00020, Kathleen Burton, 421, Sharpie pens, School Items, 3, $6.0, 2021-06-09 08:40:19, United States, Riverside, Tesco, Cash, 75309, Y, 
21, c_00021, Peter Boyd, 221, Scarves, Clothes, 3, $54.0, 2021-06-09 08:40:19, United States, Torrance, Tesco, Gift card, 82039, Y, 
22, c_00022, Colleen Meyers, 306, Bookcase, Furniture, 10, $1500.0, 2021-09-05 16:49:50, United States, Huntington Beach, Tesco, Internet Banking, 78155, Y, 
23, c_00023, Margaret Wilson, 224, Wallet, Clothes, 10, $650.0, 2021-09-05 16:49:50, United States, Little Rock, Tesco, Gift card, 29686, Y, 
24, c_00024, Julie Oliver, 417, Pencil Pouch, School Items, 10, $50.0, 2021-11-24 19:33:46, United States, Kansas City, Amazon, Electronic, 58896, Y, 
25, c_00025, Daniel Richards, 302, Recliners, Furniture, 4, $660.0, 2021-01-16 11:46:13, United States, Huntington Beach, Tesco, Electronic, 83263, Y, 
26, c_00026, Dana Garcia, 311, Ottoman, Furniture, 3, $150.0, 2021-10-10 18:14:19, United States, Bayamon, Tesco, Gift card, 53997, Y, 
27, c_00027, Elizabeth Watkins, 107, Computers, Technology, 4, $2800.0, 2021-12-20 14:36:17, United States, Paradise, Amazon, Electronic, 35439, Y, 
twenty-eighth, c_00028, Holly Garcia, 404, Chromebooks, School Items, 10, $1200.0, 2021-12-28 18:40:07, United States, Denton, Tesco, Gift card, 60251, Y, 
29, c_00029, Michael Stewart, 314, Cradle, Furniture, 3, $387.0, 2021-12-02 12:11:02, United States, Atlanta, bazos, Electronic, 97717, Y, 
30, c_00030, Katherine Long, 107, Computers, Technology, 2, $1400.0, 2021-12-28 18:02:43, United States, Cleveland, Aliexpress, Electronic, 59796, Y, 
31, c_00031, Cory Davenport, 202, Shoes, Clothes, 10, $600.0, 2021-06-10 14:51:27, United States, Montgomery, Tesco, Gift card, 66658, N, Insufficent funds
32, c_00032, Alfred Cunningham, 114, Webcam, Technology, 9, $1080.0, 2021-12-19 11:50:19, United States, El Paso, Aldi, Card, 70841, Y, 
33, c_00033, Susan Rocha, 200, Jeans, Clothes, 1, $29.0, 2021-02-18 18:34:59, United States, Virginia Beach, Tesco, Gift card, 80674, Y, 
34, c_00034, Jeremy Hull, 411, Calculators, School Items, 2, $120.0, 2021-01-22 19:56:00, United States, Garland, Tesco, Internet Banking, 11902, Y, 
35, c_00035, Patricia Tucker, 315, Grandfather clock, Furniture, 10, $5000.0, 2021-06-16 08:05:01, United States, Pembroke Pines, Tesco, Internet Banking, 17118, Y, 
thirty-sixth, c_00036, Brittany Young, 304, Cabinets, Furniture, 2, $160.0, 2021-04-17 16:01:56, United States, Ontario, Tesco, Electronic, 42251, Y, 
37, c_00037, Carrie Young, 105, Electronic Locks, Technology, 3, $255.0, 2021-04-19 09:07:27, United States, Enterprise, Tesco, Internet Banking, 67237, Y, 
38, c_00038, Jill Alvarado, 315, Grandfather clock, Furniture, 3, $1500.0, 2021-04-19 09:07:27, United States, Philadelphia, Tesco, Card, 85974, Y, 
39, c_00039, Troy Cain, 406, Backpacks, School Items, 1, $29.0, 2021-09-26 14:33:27, United States, Fort Worth, Tesco, Internet Banking, 67521, Y, 
40, c_00040, Yolanda Baker, 423, Index cards, School Items, 4, $8.0, 2021-12-28 14:33:47, United States, Sacramento, Tesco, Cash, 12463, Y, 
41, c_00041, Jennifer Schroeder, 111, Earbuds, Technology, 4, $480.0, 2021-12-28 14:33:47, United States, Fort Wayne, Tesco, Internet Banking, 63454, Y, 
forty-second, c_00042, Bryan Brown, 117, Fridges, Technology, 8, $2160.0, 2021-12-09 10:44:13, United States, Chesapeake, Mediamarkt, Internet Banking, 27461, Y, 
43, c_00043, Matthew Moore, 113, Mouse, Technology, 10, $800.0, 2021-07-05 12:14:30, United States, Bridgeport, Tesco, Electronic, 66994, Y, 
