,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
0,0,209,Tiemou Ryoryori,81,Sprig of Mistletoe (Druidic Focus),Gear,Google pay,1,1.0,2022-08-05 10:23:24,United States,New York,Walmart.com,0,Y,
1,1,753,Utorisi Ongin,10,Chain Mail,Armor,Gift card,1,75.0,2022-02-10 18:09:21,India,Delhi,yeoldestore.com,0,N,Failed to Authenticate buyer
2,2,782,Rstanerma Iora,15,Dagger,Weapons,Paypal,7,2.0,2022-03-28 10:22:57,United States,Chicago,yeoldestore.com,0,N,Payment site timed out
3,3,64,Ilefono Herala,2,Leather,Armor,Venmo,7,10.0,2022-07-19 04:38:52,South Korea,Seoul,Etsy.com,0,Y,
4,4,879,Ameci Bestieson,95,Ink (1 ounce bottle),Gear,Google pay,1,1.0,2022-06-23 17:03:58,United States,Los Angeles,Blacksmithery.com,1,Y,
5,5,287,Tereca Lincheg,95,Ink (1 ounce bottle),Gear,Venmo,10,1.0,2022-02-16 03:29:59,United States,Los Angeles,Hardhat.com,1,Y,
6,6,389,Caytherodu Irannistsi,2,Leather,Armor,Paypal,5,10.0,2022-06-30 16:42:29,China,Chongqing,Hardhat.com,1,Y,
7,7,55,Lise Shewe,60,Rod (Arcane Focus),Gear,Google pay,6,10.0,2022-04-03 06:58:20,United States,New York,Hardhat.com,2,Y,
8,8,205,Dyeadem Spast,52,Alchemist's Fire (flask),Gear,Cash app,10,50.0,2022-03-14 00:46:37,China,Tangshan,yeoldestore.com,0,N,Payment site timed out
9,9,388,Ardere Chen,1,Padded,Armor,Venmo,8,5.0,2022-03-07 15:02:00,United States,New York,Amazon.com,2,Y,
10,10,191,Faprirese Ptot,22,Sickle,Weapons,Cash app,4,1.0,2022-04-21 13:25:41,Iran,Tehran,Walmart.com,1,Y,
11,11,543,Nineno Antedreran,72,Chalk (10 piece),Gear,Google pay,4,1.0,2022-01-29 11:06:10,Brazil,Rio de Janeiro,Etsy.com,3,N,Insuffecient Funds
12,12,544,Tlethue Anthenin,106,Spellbook,Gear,Google pay,8,50.0,2022-01-03 12:11:25,United States,Los Angeles,yeoldestore.com,4,Y,
13,14,189,Sante Fremme,10,Chain Mail,Armor,Paypal,1,75.0,2022-06-10 02:10:15,Congo (Kinshasa),Kinshasa,LarpersTrove.com,2,Y,
14,15,757,FerorTtrsps,55,Crossbow Bolts (20),Gear,Paypal,1,10.0,2022-02-22 09:45:00,China,Handan,LarpersTrove.com,3,N,Failed to Authenticate buyer
15,17,877,Ains Cluappa,69,Caltrops (20),Gear,Gift card,7,10.0,2022-05-10 13:34:00,United States,New York,Amazon.com,1,Y,
16,18,827,Whathefred Itiori,94,Hunting Trap,Gear,Credit Card,2,5.0,2022-03-22 16:09:06,France,Paris,Blacksmithery.com,0,Y,
17,19,356,Pecenorth Sec,106,Spellbook,Gear,Cash app,4,50.0,2022-04-09 12:01:02,United States,Manhattan,Blacksmithery.com,3,Y,
18,21,426,Pruatha Qun,62,Wand (Arcane Focus),Gear,Souls of my Enemys,4,10.0,2022-05-29 02:07:08,China,Chongqing,Walmart.com,2,N,What is this; Why is it screaming
19,23,270,Colyo Pure,26,Shortbow,Weapons,Venmo,6,25.0,2022-06-07 18:49:53,Thailand,Bangkok,Walmart.com,3,N,Insuffecient Funds
20,24,142,Dsem Reprathd,108,Vial,Gear,Cash app,3,1.0,2022-07-27 03:57:04,South Korea,Seoul,yeoldestore.com,4,N,Insuffecient Funds
21,25,872,Mesth Iarkorenan,95,Ink (1 ounce bottle),Gear,Google pay,5,1.0,2022-07-18 18:00:37,United States,Boston,Amazon.com,5,Y,
22,26,814,Wir Nddcra,87,Sledgehammer,Gear,Apple pay,8,2.0,2022-07-15 10:30:50,Japan,Tokyo,Blacksmithery.com,0,Y,
23,27,874,Dlirels Acigel,34,Lance,Weapons,Souls of my Enemys,3,10.0,2022-08-07 21:21:54,China,Shanghai,yeoldestore.com,3,Y,
24,28,403,Cerfr Ishino,94,Hunting Trap,Gear,Venmo,3,5.0,2022-05-02 08:56:01,Congo (Kinshasa),Kinshasa,yeoldestore.com,4,Y,
25,29,504,Weppu Witlysale,6,Scale Mail,Armor,Souls of my Enemys,6,50.0,2022-01-25 17:45:28,United States,Chicago,Walmart.com,4,N,Soul type not excepted
26,30,570,Iagatys Trse,93,Hourglass,Gear,Apple pay,7,25.0,2022-06-07 06:34:06,China,Shaoyang,Etsy.com,1,N,Insuffecient Funds
27,31,217,Issoon Tichati,66,Book,Gear,Souls of my Enemys,2,25.0,2022-03-09 12:12:22,India,Mumbai,Walmart.com,5,Y,
28,32,800,Woflo Pofinendu,70,Candle,Gear,Paypal,6,1.0,2022-05-15 17:20:43,United States,Seattle,Hardhat.com,5,N,Failed to Authenticate buyer
29,33,640,Souagaj Terdi,11,Splint,Armor,Credit Card,6,200.0,2022-01-16 20:25:27,China,Shenyang,LarpersTrove.com,1,Y,
30,34,853,Avealeds Lorvesth,11,Splint,Armor,Gift card,6,200.0,2022-03-11 20:02:58,United States,Los Angeles,LarpersTrove.com,2,N,Insuffecient Funds
31,35,99,Wieurreee Ivident,109,Waterskin,Gear,Cash app,7,2.0,2022-04-09 21:54:11,China,Yuncheng,yeoldestore.com,5,Y,
32,36,301,Calas Smexur,20,Mace,Weapons,Apple pay,10,5.0,2022-02-25 00:44:37,United States,Los Angeles,yeoldestore.com,2,Y,
33,37,79,Pay Timowa,3,Studded Leather,Armor,Gift card,5,45.0,2022-05-28 11:38:02,South Korea,Seoul,Amazon.com,3,Y,
34,38,724,Fffat Ran,98,Bullseye Lantern,Gear,Apple pay,7,10.0,2022-03-12 03:59:27,United States,New York,Hardhat.com,3,N,Insuffecient Funds
35,39,853,Avealeds Lorvesth,42,Trident,Weapons,Paypal,7,5.0,2022-07-21 15:51:12,United States,Los Angeles,yeoldestore.com,6,Y,
36,40,6,Oprerestho Tor,77,Fine Clothes,Gear,Souls of my Enemys,10,150.0,2022-03-07 08:08:10,United States,Philadelphia,Amazon.com,6,Y,
37,41,522,Titoud Tocatayol,36,Maul,Weapons,Google pay,8,10.0,2022-02-18 05:07:51,India,Chennai,Etsy.com,6,N,Insuffecient Funds
38,43,47,Latizescou Wetons,96,Ink Pen,Gear,Gift card,10,0.2,2022-06-08 21:25:24,China,Ningde,yeoldestore.com,5,Y,
39,44,315,Thersi Ong,36,Maul,Weapons,Google pay,6,10.0,2022-05-31 16:04:08,India,Delhi,Hardhat.com,7,Y,
40,45,190,Any Helioueres,98,Bullseye Lantern,Gear,Gift card,10,10.0,2022-01-28 00:54:09,Vietnam,Ho Chi Minh City,LarpersTrove.com,6,Y,
